rev,n,total,mean,sd
a21f00b1,2047,5792.5,2.83,1.48
19ff2d4a,2049,5797.5,2.83,1.48
569f29cc,2049,5797.5,2.83,1.48
42dc9c24,2049,5797.5,2.83,1.48
add9107e,2052,5807.5,2.83,1.48
e0ba951e,2138,6082.5,2.84,1.47
53ab9991,2144,6098.5,2.84,1.47
97549df3,2147,6103.5,2.84,1.47
6257d207,2156,6143.5,2.85,1.47
a7c41ab6,2157,6144.5,2.85,1.48
308f2d69,2160,6171.5,2.86,1.49
2f409345,2166,6183.5,2.85,1.49
8d19fc00,2166,6183.5,2.85,1.49
701fabe5,2170,6197.5,2.86,1.49
9c09d9f6,2186,6243.5,2.86,1.49
2ed3aa52,2195,6271.5,2.86,1.49
4ee63667,2195,6271.5,2.86,1.49
5e52300a,2211,6350.5,2.87,1.5
05e421cc,2211,6350.5,2.87,1.5
f5100373,2227,6393.5,2.87,1.5
bdbaf83f,2261,6490.5,2.87,1.5
d27a35a4,2262,6495.5,2.87,1.5
9930266d,2266,6505.5,2.87,1.5
16475456,2266,6505.5,2.87,1.5
5a89dea1,2272,6534.5,2.88,1.51
6f19975d,2274,6537.5,2.87,1.51
7d48ce68,2270,6505.5,2.87,1.5
edeea365,2284,6561.5,2.87,1.5
eb6baf19,2286,6568.5,2.87,1.5
5041ab14,2282,6559.5,2.87,1.5
a705ad95,2282,6559.5,2.87,1.5
ebf7f9d0,2282,6559.5,2.87,1.5
24fc8fe0,2289,6581.5,2.88,1.5
